罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,一宮町１丁目,2019-02-03,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,久保田町２丁目,2019-03-15,20,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,庄内町２丁目,2019-02-14,12,一戸建住宅,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,庄内町３丁目,2019-03-09,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,庄内町６丁目,2019-03-09,17,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,平形町,2019-02-09,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,高津交番,382051,愛媛県,新居浜市,高津町,2019-09-01,01,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,郷駐在所,382051,愛媛県,新居浜市,郷１丁目,2019-02-01,18,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,角野交番,382051,愛媛県,新居浜市,新須賀町３丁目,2019-03-09,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,大生院駐在所,382051,愛媛県,新居浜市,萩生,2019-12-13,00,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西条,三本松交番,382060,愛媛県,西条市,新田,2019-02-04,22,駐車（輪）場,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西条,駅前交番,382060,愛媛県,西条市,大町,2019-11-19,05,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西条,駅前交番,382060,愛媛県,西条市,神拝甲,2019-04-01,19,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,今治,駅前交番,382027,愛媛県,今治市,北宝来町１丁目,2019-04-08,07,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,今治,駅前交番,382027,愛媛県,今治市,常盤町７丁目,2019-02-01,17,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,一番町交番,382019,愛媛県,松山市,一番町２丁目,2019-09-30,08,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松山東,一番町交番,382019,愛媛県,松山市,北持田町,2019-10-16,07,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松山東,一番町交番,382019,愛媛県,松山市,喜与町１丁目,2019-09-19,06,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,大街道交番,382019,愛媛県,松山市,大街道１丁目,2019-11-03,23,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,大街道交番,382019,愛媛県,松山市,河原町,2019-10-31,21,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,市駅前交番,382019,愛媛県,松山市,千舟町４丁目,2019-12-21,10,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,松山駅前交番,382019,愛媛県,松山市,三番町７丁目,2017-02-15,不明,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,松山駅前交番,382019,愛媛県,松山市,三番町８丁目,2018-12-29,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,松山駅前交番,382019,愛媛県,松山市,宮西１丁目,2018-11-02,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,素鵞交番,382019,愛媛県,松山市,枝松５丁目,2019-03-13,15,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,素鵞交番,382019,愛媛県,松山市,枝松６丁目,2019-10-12,00,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,素鵞交番,382019,愛媛県,松山市,小坂５丁目,2019-09-30,01,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,素鵞交番,382019,愛媛県,松山市,小坂５丁目,2019-10-30,10,駐車（輪）場,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,余戸交番,382019,愛媛県,松山市,土居田町,2019-06-03,06,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山西,和気駐在所,382019,愛媛県,松山市,太山寺町,2019-04-12,17,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,伊予,松前交番,384011,愛媛県,松前町,大字筒井,2019-04-29,16,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,大洲,新谷駐在所,382078,愛媛県,大洲市,新谷,2019-06-09,05,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,八幡浜,みなと交番,382043,愛媛県,八幡浜市,松柏,2019-10-05,22,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,宇和島,駅前交番,382035,愛媛県,宇和島市,中央町２丁目,2019-12-05,22,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,宇和島,駅前交番,382035,愛媛県,宇和島市,丸之内５丁目,2018-10-10,13,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,宇和島,百之浦駐在所,382035,愛媛県,宇和島市,蛤,2019-02-22,12,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,宇和島,百之浦駐在所,382035,愛媛県,宇和島市,本九島,2019-03-14,12,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,宇和島,吉田交番,382035,愛媛県,宇和島市,吉田町沖村,2019-08-19,17,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松山南,石井交番,382019,愛媛県,松山市,東石井５丁目,2019-10-18,19,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山南,朝生田交番,382019,愛媛県,松山市,市坪北１丁目,2019-09-20,17,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山南,朝生田交番,382019,愛媛県,松山市,天山２丁目,2018-05-07,11,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山南,朝生田交番,382019,愛媛県,松山市,和泉南２丁目,2019-10-04,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,四国中央,三島交番,382132,愛媛県,四国中央市,川之江町,2019-06-19,08,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,中央交番,382051,愛媛県,新居浜市,東雲町３丁目,2019-03-26,20,その他,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,前田交番,382051,愛媛県,新居浜市,河内町,2019-02-07,23,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,久保田町１丁目,2019-04-11,21,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,坂井町２丁目,2019-08-22,11,一戸建住宅,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,庄内町６丁目,2019-01-13,09,一戸建住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,新居浜駅前交番,382051,愛媛県,新居浜市,庄内町６丁目,2019-02-08,22,一戸建住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,高津交番,382051,愛媛県,新居浜市,郷５丁目,2019-03-26,15,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,高津交番,382051,愛媛県,新居浜市,八幡１丁目,2019-08-07,17,その他,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新居浜,角野交番,382051,愛媛県,新居浜市,土橋１丁目,2019-05-19,16,一戸建住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西条,駅前交番,382060,愛媛県,西条市,大町,2019-07-21,18,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西条,駅前交番,382060,愛媛県,西条市,ひうち,2018-08-01,不明,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西条,玉津駐在所,382060,愛媛県,西条市,下島山乙,2019-02-18,08,その他,キーなし,あり,自動二輪（50cc超）
窃盗,オートバイ盗,西条,飯岡駐在所,382060,愛媛県,西条市,飯岡,2018-10-15,不明,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西条西,駅前交番,382060,愛媛県,西条市,北条,2019-08-11,20,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西条西,吉井駐在所,382060,愛媛県,西条市,玉之江,2019-07-02,20,一戸建住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,今治,波方駐在所,382027,愛媛県,今治市,波方町樋口,2019-05-23,18,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松山東,,382019,愛媛県,松山市,空港通１丁目,2016-12-01,不明,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,一番町交番,382019,愛媛県,松山市,,2018-12-26,12,４階建て以上共同住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,一番町交番,382019,愛媛県,松山市,二番町２丁目,2019-08-23,15,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,一番町交番,382019,愛媛県,松山市,二番町３丁目,2019-11-05,09,道路上,キーなし,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,一番町交番,382019,愛媛県,松山市,南持田町,2019-05-20,09,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,大街道交番,382019,愛媛県,松山市,三番町１丁目,2019-07-05,15,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,大街道交番,382019,愛媛県,松山市,三番町１丁目,2019-07-31,01,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,大街道交番,382019,愛媛県,松山市,築山町,2018-10-25,07,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,市駅前交番,382019,愛媛県,松山市,和泉北１丁目,2019-03-24,08,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,市駅前交番,382019,愛媛県,松山市,末広町,2019-02-19,21,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,市駅前交番,382019,愛媛県,松山市,東野２丁目,2019-04-15,12,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,松山駅前交番,382019,愛媛県,松山市,衣山５丁目,2019-09-01,13,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,松山駅前交番,382019,愛媛県,松山市,中央１丁目,2018-12-29,20,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,松山駅前交番,382019,愛媛県,松山市,中央１丁目,2019-04-17,04,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,松山駅前交番,382019,愛媛県,松山市,南江戸３丁目,2019-04-27,05,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,松山駅前交番,382019,愛媛県,松山市,六軒家町,2019-01-30,16,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,城北交番,382019,愛媛県,松山市,,2019-02-18,07,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,城北交番,382019,愛媛県,松山市,清水町３丁目,2013-07-15,不明,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,城北交番,382019,愛媛県,松山市,清水町３丁目,2018-12-20,09,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,城北交番,382019,愛媛県,松山市,清水町４丁目,2019-04-27,08,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,道後交番,382019,愛媛県,松山市,道後湯之町,2014-06-01,12,駐車（輪）場,キーなし,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,素鵞交番,382019,愛媛県,松山市,小坂５丁目,2018-04-15,不明,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,素鵞交番,382019,愛媛県,松山市,束本２丁目,2019-02-05,01,その他,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,素鵞交番,382019,愛媛県,松山市,松末２丁目,2019-05-14,11,４階建て以上共同住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山東,素鵞交番,382019,愛媛県,松山市,松末２丁目,2019-07-02,01,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松山東,御幸交番,382019,愛媛県,松山市,山越町,2019-03-26,18,一戸建住宅,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松山東,余戸交番,382019,愛媛県,松山市,土居田町,2018-05-01,15,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山西,高浜交番,382019,愛媛県,松山市,高浜町５丁目,2019-04-06,09,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山西,高浜交番,382019,愛媛県,松山市,高浜町５丁目,2019-05-25,14,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松山西,味生交番,382019,愛媛県,松山市,山西町,2019-01-03,17,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山西,味生交番,382019,愛媛県,松山市,山西町,2019-10-09,15,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山西,和気駐在所,382019,愛媛県,松山市,太山寺町,2019-04-29,15,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,伊予,松前交番,384011,愛媛県,松前町,大字北黒田,2018-01-01,不明,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,伊予,松前交番,384011,愛媛県,松前町,大字南黒田,2019-09-29,17,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,八幡浜,伊方駐在所,384429,愛媛県,伊方町,河内,2019-07-31,14,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,宇和島,駅前交番,382035,愛媛県,宇和島市,丸之内１丁目,2019-08-07,06,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,宇和島,城南交番,382035,愛媛県,宇和島市,桜町,2019-04-01,07,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,宇和島,遊子駐在所,382035,愛媛県,宇和島市,下波,2019-12-14,17,その他,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山南,石井交番,382019,愛媛県,松山市,今在家１丁目,2019-08-22,06,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山南,石井交番,382019,愛媛県,松山市,和泉南５丁目,2019-09-15,21,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山南,石井交番,382019,愛媛県,松山市,北井門２丁目,2015-02-15,不明,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山南,久米交番,382019,愛媛県,松山市,来住町,2019-10-12,18,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山南,重信交番,382159,愛媛県,東温市,見奈良,2019-07-26,21,その他,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松山南,重信交番,382159,愛媛県,東温市,横河原,2019-04-19,07,その他,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山南,重信交番,382159,愛媛県,東温市,横河原,2019-04-22,20,その他,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松山南,川内交番,382159,愛媛県,東温市,南方,2019-06-23,16,一戸建住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山南,砥部交番,384020,愛媛県,砥部町,高尾田,2019-04-01,不明,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山南,朝生田交番,382019,愛媛県,松山市,和泉北４丁目,2018-11-01,11,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山南,朝生田交番,382019,愛媛県,松山市,市坪北２丁目,2017-12-31,不明,その他の住宅（３階建て以下共同住宅等）,キーなし,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山南,朝生田交番,382019,愛媛県,松山市,市坪北２丁目,2019-03-25,16,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山南,朝生田交番,382019,愛媛県,松山市,古川西３丁目,2019-05-04,03,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山南,朝生田交番,382019,愛媛県,松山市,古川南３丁目,2019-11-09,21,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山南,朝生田交番,382019,愛媛県,松山市,天山３丁目,2016-10-01,00,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松山南,朝生田交番,382019,愛媛県,松山市,和泉南５丁目,2018-10-01,00,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,原動機付自転車（50cc以下）
